,company,title,link,source,content,publish_date,time,article_type
20,Intel,Why Intel Stock Surged Today,https://news.google.com/read/CBMif0FVX3lxTE93ZXlxTGxiR0RncUJrZHZxcTAybHJJNUtpWGpmMk1Kc1lvY0ZQY0hWNHlYM01kbTFjVGVoVXRXUFRLQ2ZjTWpBTW1WUUZFT3NlczJlclIzVmRMem41ZmRSQ3FjZlNmSG9OSElDanNzNUN1ZTB1Q2RsbDN0ZExBVms?hl=en-US&gl=US&ceid=US%3Aen,Yahoo Finance,,2024-07-09T07:00:00.000Z,Jul 9,regular
21,Intel,"Nearly 20,000 Intel Employees Are Heading For The Exits: How Salaries Stack Up Against Nvidia, OpenAI, Microsoft And More",https://news.google.com/read/CBMigAFBVV95cUxPWjRKQXZIckJxdFpjdW1Lb0RhSEdzT1dNRWwyanBRYjZ1Y3BlZGxjaExlQ3F6QTV5YUZWczBZMmdWRUxzNnc3SlB4OTBTM09QUmdlUzRqbUxuMzNvTjNPRlBOaXBqVXNHQUZOMFlFaHlUdlVQU3dNb0ROQ3BtNlNiZQ?hl=en-US&gl=US&ceid=US%3Aen,Yahoo Finance,,2024-08-10T07:00:00.000Z,10 days ago,regular
22,Intel,Intel trims more jobs amid ongoing cost cuts,https://news.google.com/read/CBMingFBVV95cUxQWlJ3WEVvSjg5eXdxZUpnT2xjRklfN1RQRXQtLVBFanloZm81TnRvVzBEVi1LeXZlcG5KZFlOVEtsdmlaY1dpVERlci1TM1c3d3NJRXZwTEU5TWRRalRsaXpXaWk1Q18wYndOTjZXQXlSd0swWjlpb29tZUdweGJwTkxHNk9iMk10YWowdDhxZ2pETTBqRklGOUxxNmhQQdIBsgFBVV95cUxPa1NCOEZHM0NtZlQzMVZiYVBjVmMtWG0xUXVsY19kV2Zpa1pUOHFXRTZQRW1LbTFnTll4VGtqUzFhdkk4eWdPaTA3UWJrbExpZWlGeHBlVU9GQlNCM0hOeU5oc1JUcDVJWk1LWE15NXd0TG5kb3AySkpYWENMeUdtZlliOXhJZVR4VmpqUWpqeDJNdkd4eXNYZUNXeG55VEZHQmRPdHlEODZDYlB1WEVBU2Zn?hl=en-US&gl=US&ceid=US%3Aen,OregonLive,,2024-06-20T07:00:00.000Z,Jun 20,regular
23,Intel,Intel spins off FPGAs to focus on core chips and foundries,https://news.google.com/read/CBMipAFBVV95cUxPQ1RVWmJtWko4Q0hZMW9vRkhpNjA2NlJPUENQNktaSHAyNC1UaVBiMWZ3M24tMnZlcnAtVkE4QzNuekR1dFJCaC1KYWdGdktaQUFBRkR2QUlIYXlJc3NSWTJBRC13a1NCMnRlNm5DUmlrNXdIRGNibDFubWpOa1FWVVZTNTBlbG5vc0d1OHpoZHUxQVdfdW1BXzFHNjh4Q1NTX1MtdA?hl=en-US&gl=US&ceid=US%3Aen,Light Reading,,2023-10-04T07:00:00.000Z,"Oct 4, 2023",regular
24,Intel,"In 2024, Intel Hopes to Leapfrog Its Chipmaking Competitors",https://news.google.com/read/CBMiS0FVX3lxTE5NakFsMzh0WlppRGpjbEpsNlNmdmVLMU9ZMFRoaDlDWGVDbkg3cHgzcURHYUpwYnlnY1QxYmRxcVBfTHVFT095andqWdIBX0FVX3lxTE0wVE13WWg1ZHZuYVQ0bDFzRHR2UjJoNU9BX29xNDV0UkRMdk5pbDFhOWZEU3pNRGtjdVlTSDY5NG9SYWg5NVg0dl9NV3gxalVCX1pDc21rT3pDeVViTWJJ?hl=en-US&gl=US&ceid=US%3Aen,IEEE Spectrum,,2023-12-18T16:02:52.000Z,"Dec 18, 2023",regular
25,Intel,Intel: “We are bringing the AI PC to the car”,https://news.google.com/read/CBMiiAFBVV95cUxPS243Qk9rRjhMNlJVOFB2cl8tYjNJSEFJMFloMEdPMi0zdHZUUTZ1TDFxZ0FQU3FTZmx2al9uMi1JVzZzYmd5LWkzbW1BaVdBVGQzU0x2US1SMlMzNzJWQXhBNVA4NW1QWldLX0tfTEl5TFFBYnh2RVVpUGhzMTljaHNVU01KX1pV?hl=en-US&gl=US&ceid=US%3Aen,The Verge,,2024-01-09T08:00:00.000Z,Jan 9,regular
26,Intel,Intel shares updated construction video from Licking County site,https://news.google.com/read/CBMi9gFBVV95cUxPOGNqVVpWc2x3ZFRLVE9CQ1ZRUkZjWTVJbHBPc3JTbGlfVkotS1JUQzAxSlRwSG5lLVg0MHp4VkVjb0tNeF9zaG1ldG1JVEFPaVlnY1BXQzB3TF9TQmJuV2J0SkdNTEJXOVJURGlwLWpOSHIyYnV0S1VJT1hkQVA3MWp6WWVHa0o4SnhXNzVGeVBkbVF0TDdySFVKNF9MeFhtSW4tOXp1dUdPbXU0QlA1T0xCNjZfWDF1RXFtcDA0MWt2QUVyNUJTMGRaYUhQRUtrMUFMbnpmWlpEVWtUR2d0Vm9kQ2RZNXE5dV9jMk1sZ0p3M3AtQVHSAfsBQVVfeXFMUFRsUmtUc0EtVnc5d3pCc1dITlNyZzFqZjF1ZVNwN3J5MER1U3dPeEVwNm9tUFlydXJuaHZITzdJZjl3SjJSQUtwLU9iYmlmYnR1X2QybUhDYmZwam14VHFDREpoOUNtdExoODJyRm0zZHRTS3RGS0MtZWx4RDExTjUxYUxfWE5nWnlFSk9UaHZXWjU5eWoxV3JpanhZTkpKSHlCYUZMYWJFek8wUExNbGhyNFFYYnlBUzlYMktQalRZMWtEejg4UUlUSHVITmhNMElXbUhLU2NBRmFDYzFBdU5WRVhWWE5wYzdhM2Jkd3pUbF9ZakYwd1RFS2M?hl=en-US&gl=US&ceid=US%3Aen,ABC6OnYourSide.com,,2023-10-01T07:00:00.000Z,"Oct 1, 2023",regular
27,Intel,Intel 3 Represents an Intel Foundry Milestone,https://news.google.com/read/CBMiekFVX3lxTE5rVHdiT2dsWFFVUWVmVHljLWhUT3pHeDVlZEwwS1phbkNCVzB6UWxjbFZhT3lEcGpHV1JiV09ZNDR5a1JWMzFTX3Y3a2phNExTMmpJNzlfWktRUE9XZElkUFdTWkY5R2xFUUJNdmc0MHRHM0x2emZXRWN3?hl=en-US&gl=US&ceid=US%3Aen,EE Times,,2024-06-18T07:00:00.000Z,Jun 18,regular
28,Intel,I spent three weeks gaming on an Intel Arc laptop and I'm… shocked,https://news.google.com/read/CBMiXkFVX3lxTFA3b05GUER1am02azJQMWpNMG1QRWFsXzlvVHhNSzdnUE5ndERxN25VRVMyU1ZJYkpVc1lpZ0V4LUtaV1p6Q2hDQjR4OC1zTjQ0eFZVZ2xBcFVORGxnUUE?hl=en-US&gl=US&ceid=US%3Aen,Laptop Mag,,2024-07-21T07:00:00.000Z,Jul 21,regular
29,Intel,Intel’s Server and PC Chip Development Will Blur After 2025,https://news.google.com/read/CBMimgFBVV95cUxOc2tGajVUYTlZQ1lkdG90UHVpcW12Y2t4d3lCRVJOaGNkYnJyX3BPN3ZKQ1htSUN4QmVRSlZXYjhMQTRFSUNRQ2YtaHk1UGNHbWo0d2I0TjAwQWxaNDVBN1AzV19KT2t4MGFIcWdMV3RqcW4xdkQzMHVlcjBGem1qUWFZd0hIMVFHSWhxb1l4YkF5YmxYT1ZHTXNR?hl=en-US&gl=US&ceid=US%3Aen,HPCwire,,2024-01-15T08:00:00.000Z,Jan 15,regular
