Date,Open,High,Low,Close,Adj Close,Volume,environment_negative_percentage,government_negative_percentage,neutral_negative_percentage,social_negative_percentage,environment_positive_percentage,government_positive_percentage,neutral_positive_percentage,social_positive_percentage
2024-01-18,53.720001,54.463333,53.560001,54.413334,54.041584,18190500,,,,0.0,,,,100.0
2024-01-31,55.933334,55.933334,55.036667,55.083332,54.707005,26134800,,,,0.0,,,,100.0
2024-02-15,56.599998,56.616669,55.990002,56.43,56.044472,16948800,,0.0,,,,100.0,,
2024-02-20,59.493332,60.450001,58.41,58.619999,58.219509,71788500,,,,50.0,,,,50.0
2024-02-22,57.959999,58.490002,57.77,58.470001,58.070538,29512800,,,,0.0,,,,100.0
2024-02-23,58.696667,59.216667,58.436668,58.52,58.120193,74365800,100.0,,,,0.0,,,
2024-03-04,58.5,59.389999,58.400002,59.299999,58.894863,16033300,,,,100.0,,,,0.0
2024-03-07,61.0,61.07,60.349998,60.360001,59.94762,16195300,0.0,,,,100.0,,,
2024-03-11,60.099998,60.709999,59.869999,60.66,60.245571,14154000,,,,100.0,,,,0.0
2024-03-12,60.950001,61.57,60.650002,61.41,60.990448,16613100,,,,100.0,,,,0.0
2024-03-14,61.279999,61.439999,60.599998,61.02,60.809517,16584700,100.0,,,0.0,0.0,,,100.0
2024-03-15,60.68,61.150002,60.459999,60.68,60.470688,50904600,0.0,,,,100.0,,,
2024-03-26,60.459999,60.830002,60.23,60.509998,60.301273,13738300,0.0,,,,100.0,,,
2024-04-01,60.310001,60.759998,59.93,60.0,59.793034,13837600,,,,100.0,,,,0.0
2024-04-04,59.540001,59.810001,59.290001,59.5,59.294758,14436100,,,,100.0,,,,0.0
2024-04-11,60.75,60.889999,60.07,60.09,59.882725,10987600,,,,100.0,,,,0.0
2024-04-16,60.029999,60.290001,59.779999,59.84,59.633587,14726300,0.0,,,,100.0,,,
2024-04-26,60.110001,60.389999,60.0,60.16,59.95248,11045200,,,100.0,,,,0.0,
2024-04-29,60.18,60.389999,59.939999,60.240002,60.032207,9785100,,,,0.0,,,,100.0
2024-04-30,60.200001,60.299999,59.16,59.349998,59.145275,14209200,,100.0,,33.33333333333333,,0.0,,66.66666666666666
2024-05-01,59.310001,59.41,58.720001,58.849998,58.646999,15464300,,,100.0,,,,0.0,
2024-05-03,59.619999,59.98,59.139999,59.82,59.613655,14207400,,0.0,,,,100.0,,
2024-05-09,60.200001,60.580002,59.950001,60.439999,60.439999,14550500,,100.0,,100.0,,0.0,,0.0
2024-05-14,60.52,60.549999,59.439999,59.860001,59.860001,18780100,,,,100.0,,,,0.0
2024-05-16,64.220001,64.419998,62.939999,64.010002,64.010002,60545600,,100.0,,50.0,,0.0,,50.0
2024-05-21,64.529999,65.190002,64.449997,65.150002,65.150002,17131700,,,,50.0,,,,50.0
2024-05-22,64.980003,65.690002,64.730003,65.25,65.25,14879400,,,,100.0,,,,0.0
2024-05-23,65.169998,65.519997,64.559998,64.839996,64.839996,16222900,,,,100.0,,,,0.0
2024-05-24,65.129997,65.690002,65.010002,65.379997,65.379997,11793800,,100.0,,,,0.0,,
2024-05-28,65.220001,65.470001,64.739998,65.040001,65.040001,13349600,,,,100.0,,,,0.0
2024-05-29,64.75,65.209999,64.650002,64.919998,64.919998,11538600,,,,0.0,,,,100.0
2024-06-04,65.989998,66.639999,65.830002,66.599998,66.599998,14780800,,,,0.0,,,,100.0
2024-06-05,66.57,67.150002,66.279999,67.089996,67.089996,14982700,,,,0.0,,,,100.0
2024-06-06,67.059998,67.440002,66.769997,67.150002,67.150002,13256000,,,,0.0,,,,100.0
2024-06-12,66.849998,66.940002,65.900002,66.309998,66.309998,11704700,,,,0.0,,,,100.0
2024-06-13,66.300003,66.760002,65.949997,66.699997,66.699997,11196600,,,,100.0,,,,0.0
2024-06-20,67.349998,68.129997,67.300003,68.010002,68.010002,13860800,,,,0.0,,,,100.0
2024-06-25,67.169998,67.589996,66.550003,67.419998,67.419998,20904000,,,,0.0,,,,100.0
2024-07-10,70.099998,70.440002,69.720001,70.410004,70.410004,10803400,,,,0.0,,,,100.0
2024-07-11,70.18,70.449997,69.260002,69.800003,69.800003,15624800,,,,0.0,,,,100.0
2024-07-18,70.68,71.190002,70.43,70.82,70.82,10682700,,,,100.0,,,,0.0
