Date,Open,High,Low,Close,Adj Close,Volume,environment_negative_percentage,government_negative_percentage,neutral_negative_percentage,social_negative_percentage,environment_positive_percentage,government_positive_percentage,neutral_positive_percentage,social_positive_percentage
2024-04-30,161.839996,163.350006,161.600006,163.199997,162.224319,8106100,,100.0,,0.0,,0.0,,100.0
2024-05-08,165.979996,166.369995,164.929993,165.070007,164.083145,4579400,,,,0.0,,,,100.0
2024-05-14,165.529999,166.070007,163.949997,165.759995,164.769012,6009800,,,,100.0,,,,0.0
2024-05-16,166.929993,168.339996,166.589996,167.860001,166.856461,6793600,,100.0,,50.0,,0.0,,50.0
2024-05-22,168.009995,168.429993,167.630005,167.809998,166.806763,4536700,,,,33.33333333333333,,,,66.66666666666666
2024-05-28,164.490005,164.759995,162.259995,163.110001,162.134857,6466200,,,,0.0,,,,100.0
2024-06-03,163.929993,166.240005,163.630005,164.649994,163.665649,5828400,,,0.0,,,,100.0,
2024-06-04,164.789993,167.119995,164.399994,167.009995,166.011536,6277000,,,,0.0,,,,100.0
2024-06-05,167.009995,167.009995,164.979996,166.050003,165.057281,5243300,,,,100.0,,,,0.0
2024-06-12,167.5,167.639999,164.220001,165.179993,164.192474,5474500,,0.0,,50.0,,100.0,,50.0
2024-06-17,165.850006,168.710007,165.399994,167.5,166.498611,6759400,,,,0.0,,,,100.0
2024-06-18,167.029999,168.649994,166.940002,168.559998,167.552277,5112600,,,,100.0,,,,0.0
2024-06-27,167.490005,168.100006,165.5,166.619995,165.623871,5007000,,,,0.0,,,,100.0
2024-06-28,166.0,167.240005,164.580002,164.919998,163.934036,9253100,,,,100.0,,,,0.0
2024-07-10,165.899994,166.919998,165.539993,166.800003,165.802811,5037100,,,0.0,,,,100.0,
2024-07-11,166.300003,166.630005,164.779999,165.539993,164.550323,5831500,,,,0.0,,,,100.0
2024-07-16,164.910004,167.070007,164.610001,166.949997,165.951904,6378300,,0.0,,0.0,,100.0,,100.0
2024-07-18,168.800003,170.919998,168.279999,168.440002,167.432999,5926300,,,,0.0,,,,100.0
2024-07-19,167.970001,169.039993,167.130005,167.960007,167.960007,6597100,,100.0,,,,0.0,,
2024-07-22,167.929993,168.699997,167.699997,168.25,168.25,6383000,,,100.0,,,,0.0,
2024-07-26,167.25,169.320007,167.029999,169.110001,169.110001,5581600,,,,100.0,,,,0.0
2024-07-30,161.789993,162.380005,158.039993,161.699997,161.699997,15746300,,100.0,,,,0.0,,
2024-08-01,160.880005,166.309998,160.679993,165.690002,165.690002,12532700,,,,0.0,,,,100.0
2024-08-02,167.440002,170.350006,165.149994,170.080002,170.080002,11899000,,,,0.0,,,,100.0
2024-08-12,169.399994,169.649994,166.199997,166.809998,166.809998,7208100,,,,100.0,,,,0.0
2024-08-14,166.5,169.470001,165.820007,168.800003,168.800003,5476600,,0.0,,66.66666666666666,,100.0,,33.33333333333333
2024-08-15,169.460007,169.679993,166.75,167.919998,167.919998,9491400,,100.0,,,,0.0,,
2024-08-16,167.820007,168.350006,166.800003,167.889999,167.889999,5640800,,,,33.33333333333333,,,,66.66666666666666
