,Date,Open,High,Low,Close,Adj Close,Volume,environment_negative_percentage,government_negative_percentage,neutral_negative_percentage,social_negative_percentage,environment_positive_percentage,government_positive_percentage,neutral_positive_percentage,social_positive_percentage
15,2023-09-20,34.080002,34.09,33.549999,33.619999,31.747377,24651400,,0.0,,,,100.0,,
16,2023-09-21,33.470001,33.59,32.830002,32.849998,31.020264,26980600,0.0,,,,100.0,,,
17,2023-09-22,33.080002,33.09,32.5,32.689999,30.869175,28570800,,100.0,,0.0,,0.0,,100.0
18,2023-09-25,32.689999,32.98,32.41,32.98,31.143026,19443700,,50.0,,,,50.0,,
19,2023-09-26,32.720001,32.959999,32.360001,32.400002,30.595331,26015500,0.0,,,0.0,100.0,,,100.0
20,2023-09-27,32.43,32.5,31.9,32.099998,30.31204,26430100,50.0,0.0,,0.0,50.0,100.0,,100.0
21,2023-09-28,32.060001,32.32,31.77,32.09,30.302595,28197600,,100.0,100.0,33.33333333333333,,0.0,0.0,66.66666666666666
22,2023-09-29,32.349998,33.23,32.299999,33.169998,31.322437,42397800,,,,100.0,,,,0.0
23,2023-10-02,32.950001,33.959999,32.759998,33.939999,32.049549,44620600,,100.0,,,,0.0,,
24,2023-10-03,33.84,34.110001,33.709999,33.900002,32.01178,31059900,,0.0,,,,100.0,,
25,2023-10-04,33.939999,34.080002,33.009998,33.310001,31.454645,23722300,,100.0,,0.0,,0.0,,100.0
26,2023-10-05,33.450001,33.779999,33.049999,33.470001,31.605732,21279400,,0.0,,0.0,,100.0,,100.0
27,2023-10-06,33.52,33.560001,33.07,33.130001,31.284668,23750600,,100.0,,33.33333333333333,,0.0,,66.66666666666666
28,2023-10-10,33.080002,33.400002,33.009998,33.169998,31.322437,19212100,0.0,,,,100.0,,,
29,2023-10-11,33.240002,33.330002,32.82,33.110001,31.265783,24221200,,,,100.0,,,,0.0
30,2023-10-12,33.110001,33.220001,32.77,32.919998,31.086363,21809900,50.0,0.0,,50.0,50.0,100.0,,50.0
31,2023-10-13,32.939999,32.990002,32.02,32.110001,30.321484,32388100,,0.0,,66.66666666666666,,100.0,,33.33333333333333
32,2023-10-16,32.830002,33.919998,32.560001,33.27,31.416872,63317400,,0.0,,50.0,,100.0,,50.0
33,2023-10-17,33.0,33.189999,32.200001,32.75,30.925835,40015800,0.0,,,0.0,100.0,,,100.0
34,2023-10-18,32.540001,32.68,31.389999,31.41,29.660471,30307600,,,,33.33333333333333,,,,66.66666666666666
