Date,Open,High,Low,Close,Adj Close,Volume,environment_negative_percentage,government_negative_percentage,neutral_negative_percentage,social_negative_percentage,environment_positive_percentage,government_positive_percentage,neutral_positive_percentage,social_positive_percentage
2024-03-26,284.130005,284.130005,278.410004,280.600006,280.081665,8752400,,100.0,,,,0.0,,
2024-03-27,280.25,281.25,276.980011,279.019989,278.504578,5190700,,0.0,,100.0,,100.0,,0.0
2024-03-28,278.48999,279.799988,277.119995,279.079987,278.564453,5844400,,0.0,,,,100.0,,
2024-04-04,278.359985,279.079987,273.559998,274.0,273.493835,4018600,,100.0,,0.0,,0.0,,100.0
2024-04-08,276.25,277.980011,275.149994,277.76001,277.246918,5542400,,,,0.0,,,,100.0
2024-04-22,270.950012,273.76001,269.359985,272.329987,271.826935,6463700,,100.0,,0.0,,0.0,,100.0
2024-04-23,274.01001,274.890015,272.709991,274.109985,273.603638,6438000,,50.0,,100.0,,50.0,,0.0
2024-04-25,272.970001,276.220001,270.48999,275.160004,274.651703,8064600,,,,100.0,,,,0.0
2024-04-29,272.320007,274.470001,271.089996,271.839996,271.33783,4128600,,100.0,,,,0.0,,
2024-05-02,269.350006,269.470001,266.649994,267.609985,267.115631,5061700,,0.0,,,,100.0,,
2024-05-13,281.459991,282.149994,279.100006,279.390015,278.873901,10528400,,0.0,,,,100.0,,
2024-05-15,277.149994,281.730011,277.070007,281.5,280.97998,21288400,100.0,0.0,,,0.0,100.0,,
2024-05-21,278.0,278.429993,274.880005,275.950012,275.950012,6578200,,0.0,,,,100.0,,
2024-05-23,275.23999,277.440002,273.029999,274.230011,274.230011,6115900,,0.0,,,,100.0,,
2024-06-03,273.089996,273.130005,268.059998,270.380005,270.380005,4838800,,,,100.0,,,,0.0
2024-06-11,274.540009,274.859985,272.220001,274.670013,274.670013,6244600,,0.0,,,,100.0,,
2024-06-13,270.320007,271.859985,269.320007,271.190002,271.190002,7361200,,100.0,,,,0.0,,
2024-06-17,269.0,271.829987,269.0,271.170013,271.170013,9258200,,0.0,,,,100.0,,
2024-06-18,271.299988,273.899994,271.299988,273.619995,273.619995,6707500,,100.0,,,,0.0,,
2024-06-20,273.190002,278.040009,273.100006,276.820007,276.820007,10164400,,0.0,,,,100.0,,
2024-06-24,275.320007,280.390015,275.269989,276.299988,276.299988,24149600,,,,100.0,,,,0.0
2024-06-25,276.850006,277.929993,273.529999,273.529999,273.529999,19897700,,,,0.0,,,,100.0
2024-06-26,272.910004,274.459991,271.75,273.600006,273.600006,12172000,,100.0,,,,0.0,,
2024-06-27,268.51001,270.589996,266.5,266.589996,266.589996,10529100,,0.0,,,,100.0,,
2024-07-01,263.790009,265.769989,261.299988,263.23999,263.23999,7955800,,,,100.0,,,,0.0
2024-07-09,267.0,267.549988,263.920013,265.440002,265.440002,6431300,,100.0,,,,0.0,,
2024-07-10,259.119995,263.480011,258.51001,263.0,263.0,9635500,,,,0.0,,,,100.0
2024-07-12,264.339996,267.399994,263.660004,265.73999,265.73999,6625700,,,,100.0,,,,0.0
