Date,Open,High,Low,Close,Adj Close,Volume,environment_negative_percentage,government_negative_percentage,neutral_negative_percentage,social_negative_percentage,environment_positive_percentage,government_positive_percentage,neutral_positive_percentage,social_positive_percentage
2024-05-20,177.559998,177.75,173.520004,174.949997,174.949997,61727400,,,,0.0,,,,100.0
2024-05-23,181.800003,181.899994,173.259995,173.740005,173.740005,71975500,,,,100.0,,,,0.0
2024-06-05,175.350006,176.149994,172.130005,175.0,175.0,57953800,100.0,,,,0.0,,,
2024-06-13,188.389999,191.080002,181.229996,182.470001,182.470001,118984100,,,,0.0,,,,100.0
2024-06-17,177.919998,188.809998,177.0,187.440002,187.440002,109786100,,,,0.0,,,,100.0
2024-06-18,186.559998,187.199997,182.369995,184.860001,184.860001,68982300,,100.0,,,,0.0,,
2024-07-01,201.020004,213.229996,200.850006,209.860001,209.860001,135691400,100.0,,,,0.0,,,
2024-07-02,218.889999,231.300003,218.059998,231.259995,231.259995,205047900,,,,100.0,,,,0.0
2024-07-09,251.0,265.609985,250.300003,262.329987,262.329987,160210900,,,,100.0,,,,0.0
2024-07-11,263.299988,271.0,239.649994,241.029999,241.029999,221707300,,,0.0,100.0,,,100.0,0.0
2024-08-15,205.020004,215.880005,204.820007,214.139999,214.139999,89848500,,,100.0,100.0,,,0.0,0.0
2024-08-16,211.149994,219.800003,210.800003,216.119995,216.119995,88765100,,,,100.0,,,,0.0
2024-08-19,217.070007,222.979996,214.089996,222.720001,222.720001,76435200,100.0,,,100.0,0.0,,,0.0
